Category,Type,Grouping,Group Duration (h:mm:ss),,Overall Duration,76:57:21
Path,Myeloid and Lymphoid,Lymphoid Disorders,0:32:49,,,
Path,Nephrology,Acute Kidney Injury,0:58:52,,,
Path,Nephrology,Glomerulopathy,0:54:06,,,
Path,Nephrology,Myocardial and Pericardial Disorders,0:37:25,,,
Path,Nephrology,Urinary Tract Obstruction,0:46:08,,,
Path,Nephrology,Renal Cancer,0:12:56,,,
Path,Nephrology,"Volume, Electrolyte, Acid-Base Disorders",1:48:31,,,
Path,Neurology,Cerebrovascular,0:36:54,,,
Path,Neurology,Intracranial Hypertension and Tumors,1:11:31,,,
Path,Neurology,Spinal Cord and Peripheral Nerve,0:36:02,,,
Path,Neurology,Congenital,0:35:26,,,
Path,Neurology,Neurodegenerative,0:33:36,,,
Path,Pulm,Obstructive Lung Disease,0:45:02,,,
Path,Pulm,Restrictive Lung Disease,1:09:28,,,
Path,Pulm,Acute Lung Disorder,0:59:09,,,
Path,Pulm,Lung Cancer,0:30:19,,,
Path,Reproductive and GU,Uterine and Vulvovaginal Disorders,1:00:40,,,
Path,Reproductive and GU,Reproductive Hormones & Ovarian Disorders,0:59:00,,,
Path,Reproductive and GU,Gestational Disorders,0:44:17,,,
Path,Reproductive and GU,Breast,0:36:44,,,
Path,Reproductive and GU,Male GU,0:36:36,,,
Path,Vascular,Atherosclerosis,0:36:20,,,
Path,Vascular,Hypertension,1:00:58,,,
Path,Vascular,Vasculitides,0:54:11,,,
