Subject,Group,Video,Duration
Biochemistry,Metabolic Disorders,Alkaptonuria,0:06:35
Biochemistry,Metabolic Disorders,Homocystinuria,0:10:09
Biochemistry,Metabolic Disorders,Cystinuria,0:07:37
Biochemistry,Metabolic Disorders,Propionic Acidemia,0:07:53
Biochemistry,Metabolic Disorders,Lesch-Nyhan Syndrome,0:06:48
Biochemistry,Metabolic Disorders,Systemic Primary Carnitine Deficiency,0:10:03
Biochemistry,Metabolic Disorders,MCAD Deficiency,0:09:13
Biochemistry,Lipids,Chylomicron Metabolism,0:13:14
Biochemistry,Lipids,VLDL Metabolism,0:16:18
Biochemistry,Lipids,HDL Metabolism,0:05:27
Biochemistry,Lipids,Abetalipoproteinemia,0:08:00
Biochemistry,Lipids,Familial Hyperchylomicronemia,0:07:48
Biochemistry,Lipids,Familial Hypercholesterolemia,0:08:24
Biochemistry,Lipids,Familial Dysbetalipoproteinemia,0:08:11
Biochemistry,Lipids,Familial Hypertriglyceridemia,0:04:58
Biochemistry,Autosomal Dominant Diseases,Marfan Syndrome,0:04:45
Biochemistry,Autosomal Dominant Diseases,Li-Fraumeni Syndrome (LFS),0:05:03
Biochemistry,Autosomal Dominant Diseases,Achondroplasia,0:04:13
Biochemistry,Autosomal Dominant Diseases,Job (Hyper IgE) Syndrome,0:04:21
Biochemistry,Autosomal Dominant Diseases,HHT,0:03:45
Biochemistry,Autosomal Dominant Diseases,Hereditary Spherocytosis,0:06:42
Biochemistry,Autosomal Dominant Diseases,von Hippel-Lindau (VHL),0:04:35
Biochemistry,Autosomal Dominant Diseases,MEN 1,0:05:01
Biochemistry,Autosomal Dominant Diseases,MEN 2,0:04:29
Biochemistry,Autosomal Dominant Diseases,Von Recklinghausen Disease (NF I),0:04:21
Biochemistry,Autosomal Dominant Diseases,Neurofibromatosis Type II (NF II),0:02:17
Biochemistry,Autosomal Dominant Diseases,Myotonic Dystrophy,0:03:50
Biochemistry,Autosomal Dominant Diseases,ADPKD,0:06:27
Biochemistry,Lysosomal Storage Diseases,Krabbe Disease,0:04:43
Biochemistry,Lysosomal Storage Diseases,Hurler and Hunter Syndromes,0:07:53
Biochemistry,Lysosomal Storage Diseases,Fabry Disease,0:05:32
Biochemistry,Lysosomal Storage Diseases,Tay-Sachs and Niemann-Pick,0:07:15
Biochemistry,Lysosomal Storage Diseases,Gaucher Disease,0:03:53
Biochemistry,Lysosomal Storage Diseases,Metachromatic Leukodystrophy,0:04:45
Biochemistry,Lysosomal Storage Diseases,I-Cell Disease,0:08:52
Biochemistry,Glycogen Storage Diseases,Pompe Disease (Type II),0:05:15
Biochemistry,Glycogen Storage Diseases,Von Gierke (Type I),0:05:05
Biochemistry,Glycogen Storage Diseases,Cori Disease (Type III),0:05:00
Biochemistry,Glycogen Storage Diseases,McArdle Disease (Type V),0:05:06
Biochemistry,Chromosomal Abnormalities,Down Syndrome (Trisomy 21),0:10:52
Biochemistry,Chromosomal Abnormalities,Edwards Syndrome (Trisomy 18),0:07:53
Biochemistry,Chromosomal Abnormalities,Patau Syndrome (Trisomy 13),0:06:22
Biochemistry,Chromosomal Abnormalities,Klinefelter Syndrome,0:07:09
Biochemistry,Chromosomal Abnormalities,Turner Syndrome,0:08:43
Biochemistry,Chromosomal Abnormalities,Williams Syndrome,0:06:58
Biochemistry,Chromosomal Abnormalities,Cri du Chat Syndrome,0:03:38
Biochemistry,Chromosomal Abnormalities,Imprinting,0:05:30
Biochemistry,Collagen Related Disorders,Alport Syndrome,0:05:38
Biochemistry,Collagen Related Disorders,Menkes Disease,0:07:31
Biochemistry,Collagen Related Disorders,Osteogenesis Imperfecta (Brittle Bone Disease),0:06:49
Biochemistry,Collagen Related Disorders,Collagen Synthesis,0:11:45
Biochemistry,Collagen Related Disorders,Ehlers-Danlos Syndrome,0:09:45
Biochemistry,Collagen Related Disorders,Goodpasture Syndrome,0:06:12
Biochemistry,DNA Repair,Lynch Syndrome,0:09:40
Biochemistry,DNA Repair,Xeroderma Pigmentosum,0:05:53
Biochemistry,DNA Repair,Ataxia-Telangiectasia,0:07:44
Biochemistry,DNA Repair,Bloom Syndrome,0:04:39
Biochemistry,Lung Cancer,Lung Cancer Overview,0:06:30
Biochemistry,Lung Cancer,Small Cell Carcinoma,0:05:31
Biochemistry,Lung Cancer,Adenocarcinoma,0:03:45
Biochemistry,Lung Cancer,Squamous Cell Carcinoma,0:02:52
Biochemistry,Lung Cancer,Large Cell Carcinoma,0:02:13
Biochemistry,Lung Cancer,Bronchial Carcinoid Tumor,0:02:08
Biochemistry,Toxicology,Cyanide Poisoning,0:10:09
Biochemistry,Toxicology,Tetrodotoxin,0:06:22
Biochemistry,Toxicology,Methanol Poisoning,0:06:32
Biochemistry,Toxicology,Ethylene Glycol Poisoning,0:08:09
Biochemistry,Toxicology,Ciguatoxin (Ciguatera Fish Poisoning),0:05:46
Biochemistry,Toxicology,Spoiled Fish (Scombroid) Poisoning,0:04:42
Biochemistry,Toxicology,Carbon Monoxide Poisoning,0:11:11
Biochemistry,Toxicology,Amanita Phalloides (No video),0:00:00
Biochemistry,Vasculitides,Giant Cell (Temporal) Arteritis,0:12:03
Biochemistry,Vasculitides,Henoch-Schonlein Purpura,0:08:41
Biochemistry,Vasculitides,Takayasu Arteritis,0:10:11
Biochemistry,Vasculitides,Buerger Disease (Thromboangiitis Obliterans),0:08:52
Biochemistry,Vasculitides,Behcet Disease,0:09:13
Biochemistry,Vasculitides,Granulomatosis with Polyangiitis,0:14:05
Biochemistry,Vasculitides,Mixed Cryoglobulinemia,0:07:29
Biochemistry,Vasculitides,Microscopic Polyangiitis,0:11:22
Biochemistry,Vasculitides,Kawasaki Disease,0:09:18
Biochemistry,Peroxisome,Zellweger Syndrome,0:04:09
Biochemistry,Peroxisome,Adrenoleukodystrophy,0:06:16
Biochemistry,Peroxisome,Refsum Disease,0:09:18
Biochemistry,Mitochondrial Diseases,Leber Hereditary Optic Neuropathy,0:03:48
Biochemistry,Mitochondrial Diseases,Mitochondrial Myopathies,0:09:30
Biochemistry,Heme and Porphyrias,Heme Synthesis,0:17:51
Biochemistry,Heme and Porphyrias,Acute Intermittent Porphyria (AIP),0:08:52
Biochemistry,Heme and Porphyrias,Porphyria Cutanea Tarda (PCT),0:06:35
Biochemistry,Coagulation,Common Pathway of Coagulation,0:10:54
Biochemistry,Coagulation,Extrinsic Pathway of Coagulation,0:07:29
Biochemistry,Coagulation,Intrinsic Pathway of Coagulation,0:16:50
Biochemistry,Coagulation,Hemophilia A,0:07:10
Biochemistry,Coagulation,Hemophilia B,0:05:15
Biochemistry,Coagulation,Hemophilia C,0:05:16
Biochemistry,Coagulation,Factor V Leiden,0:06:58
Biochemistry,Coagulation,Antithrombin-3 Deficiency (No Video),0:00:00
Biochemistry,Platelet Disorders,Platelet Plug Formation,0:12:20
Biochemistry,Platelet Disorders,Bernard-Soulier Syndrome,0:07:25
Biochemistry,Platelet Disorders,Glanzmann Thrombasthenia,0:03:57
Biochemistry,Platelet Disorders,Immune Thrombocytopenic Purpura (ITP),0:09:24
Biochemistry,Platelet Disorders,Thrombotic Thrombocytopenic Purpura (TTP),0:10:09
Biochemistry,Platelet Disorders,Hemolytic Uremic Syndrome (HUS),0:08:29
Biochemistry,Platelet Disorders,FUTURE: Disseminated Intravascular Coagulation,0:00:00
Biochemistry,Platelet Disorders,FUTURE: Von Willebrand Disease,0:00:00
Biochemistry,Plasma Cell Dyscrasias,Waldenstrom Macroglobulinemia,0:08:24
Biochemistry,Plasma Cell Dyscrasias,Multiple Myeloma,0:11:26
Biochemistry,Developmental Milestones,2 Months,0:03:26
Biochemistry,Developmental Milestones,4 Months,0:03:35
Biochemistry,Developmental Milestones,6 Months,0:04:27
Biochemistry,Developmental Milestones,9 Months,0:04:30
Biochemistry,Developmental Milestones,12 Months,0:03:23
Biochemistry,Developmental Milestones,18 Months,0:03:07
Biochemistry,Developmental Milestones,2 Years,0:05:45
Biochemistry,Developmental Milestones,3 Years,0:04:27
Biochemistry,Developmental Milestones,4 Years,0:04:06
Biochemistry,Developmental Milestones,5 Years,0:03:16
Biochemistry,Lab Diagrams,BMP (Chem7) Fishbone,0:07:41
Biochemistry,Lab Diagrams,CBC,0:07:05
Biochemistry,Lab Diagrams,Coagulation Panel,0:08:38
Biochemistry,Lab Diagrams,CMP,0:08:13
Biochemistry,Lab Diagrams,ABG,0:06:15
Biochemistry,Misc,Osteosarcoma,0:10:09
Biochemistry,Misc,McCune-Albright Syndrome,0:08:16
Biochemistry,Misc,Hexokinase vs Glucokinase,0:14:20
Biochemistry,Misc,COP I & II and Clathrin,0:07:29
Biochemistry,Misc,Kartagener Syndrome (Primary Ciliary Dyskinesia),0:08:33
Biochemistry,Misc,Familial Adenomatous Polyposis (FAP),0:10:26
Biochemistry,Misc,Peutz-Jeghers Syndrome,0:08:03
Biochemistry,Misc,Cystic Fibrosis Overview,0:08:32
Biochemistry,Misc,Cystic Fibrosis Complications,0:13:03
Biochemistry,Misc,Medicare vs Medicaid,0:11:33
Biochemistry,Misc,Duchenne and Becker Muscular Dystrophy,0:11:08
Biochemistry,Misc,Yolk Sac Tumor,0:04:07
Biochemistry,Misc,Rett Syndrome,0:04:30
Biochemistry,Misc,Fragile X Syndrome,0:08:18
Biochemistry,Misc,Whipple's Disease,0:06:04
Biochemistry,Misc,Osteoid Osteoma vs Osteoblastoma,0:08:39
Biochemistry,Misc,T1 vs T2 MRIs,0:04:25
Biochemistry,Dyslipidemias (deprecated),Apolipoproteins,0:07:29
Biochemistry,Dyslipidemias (deprecated),Hyperchylomicronemia,0:03:55
Biochemistry,Dyslipidemias (deprecated),Hypercholesterolemia,0:04:52
Biochemistry,Dyslipidemias (deprecated),Dysbetalipoproteinemia,0:02:53
Biochemistry,Dyslipidemias (deprecated),Hypertriglyceridemia,0:02:45
Biochemistry,Dyslipidemias (deprecated),Abetalipoproteinemia (No video),0:00:00
Immunology,Immunoglobulins,Immunoglobulin A (IgA),0:06:45
Immunology,Immunoglobulins,Immunoglobulin G (IgG),0:08:55
Immunology,Immunoglobulins,Immunoglobulin M (IgM),0:07:05
Immunology,Immunoglobulins,Immunoglobulin E (IgE),0:09:22
Immunology,Immunoglobulins,Immunoglobulin D (IgD),0:02:25
Immunology,Complement,Common Complement Pathway,0:13:41
Immunology,Complement,Classical Complement Pathway,0:07:03
Immunology,Complement,Alternative Complement Pathway,0:05:57
Immunology,Complement,Lectin Complement Pathway,0:05:44
Immunology,Other Cell Types,Neutrophils - Overview,0:11:31
Immunology,Other Cell Types,Neutrophils - Granules,0:09:34
Immunology,Other Cell Types,Neutrophils - Oxidative Burst,0:11:03
Immunology,Other Cell Types,Basophils,0:08:20
Immunology,Other Cell Types,Eosinophils,0:11:37
Immunology,Other Cell Types,Mast Cells,0:14:20
Immunology,Other Cell Types,Monocytes / Macrophages,0:16:26
Immunology,Other Cell Types,Natural Killer (NK) Cells,0:13:07
Immunology,Other Cell Types,Dendritic Cells,0:05:11
Immunology,B Cells and T Cells,MHC I,0:07:55
Immunology,B Cells and T Cells,MHC II,0:10:13
Immunology,B Cells and T Cells,B Cells - Overview,0:06:47
Immunology,B Cells and T Cells,B Cells - Activation,0:09:24
Immunology,B Cells and T Cells,Plasma B Cells,0:05:47
Immunology,B Cells and T Cells,Memory B Cells,0:05:27
Immunology,B Cells and T Cells,T Cells - Overview,0:03:30
Immunology,B Cells and T Cells,T Cells - Activation,0:09:33
Immunology,B Cells and T Cells,T Cells - Differentation,0:14:56
Immunology,B Cells and T Cells,Cytotoxic (Killer) T Cells,0:06:30
Immunology,B Cells and T Cells,Helper T Cells - Overview,0:06:42
Immunology,B Cells and T Cells,Th1 Cells,0:10:15
Immunology,B Cells and T Cells,Th2 Cells,0:11:14
Immunology,B Cells and T Cells,Th17 Cells,0:06:27
Immunology,B Cells and T Cells,Regulatory T Cells (Tregs),0:11:15
Immunology,Cytokines,TNF-alpha,0:06:03
Immunology,Cytokines,IL-1,0:07:07
Immunology,Cytokines,IL-2,0:06:34
Immunology,Cytokines,IL-3,0:02:40
Immunology,Cytokines,IL-4,0:05:53
Immunology,Cytokines,IL-5,0:05:08
Immunology,Cytokines,IL-6,0:05:29
Immunology,Cytokines,IL-8,0:02:29
Immunology,Cytokines,IL-10,0:03:26
Immunology,Cytokines,IL-12,0:04:30
Immunology,Cytokines,TGF-beta,0:03:31
Immunology,Cytokines,IFN-alpha and IFN-beta,0:02:54
Immunology,Cytokines,IFN-gamma,0:08:09
Immunology,Immunodeficiencies,Selective IgA Deficiency,0:05:27
Immunology,Immunodeficiencies,Chediak-Higashi Syndrome,0:10:09
Immunology,Immunodeficiencies,DiGeorge Syndrome,0:10:06
Immunology,Immunodeficiencies,Bruton (X-linked) Agammaglobulinemia,0:09:05
Immunology,Immunodeficiencies,Hyper-IgM Syndrome,0:08:35
Immunology,Immunodeficiencies,IPEX,0:07:09
Immunology,Immunodeficiencies,Leukocyte Adhesion Deficiency (LAD),0:09:40
Immunology,Immunodeficiencies,Chronic Granulomatous Disease (CGD),0:07:50
Immunology,Immunodeficiencies,IL-12 Receptor Deficiency,0:08:58
Immunology,Immunodeficiencies,Wiskott-Aldrich Syndrome,0:07:39
Immunology,Leukemias and Lymphomas,Acute Myelogenous Leukemia (AML),0:07:15
Immunology,Leukemias and Lymphomas,Acute Promyelocytic Leukemia (APL),0:10:54
Immunology,Leukemias and Lymphomas,Acute Lymphocytic Leukemia (ALL),0:14:39
Immunology,Leukemias and Lymphomas,Chronic Myelogenous Leukemia (CML),0:10:43
Immunology,Leukemias and Lymphomas,Chronic Lymphocytic Leukemia (CLL),0:06:52
Immunology,Leukemias and Lymphomas,Hairy Cell Leukemia (HCL),0:08:24
Immunology,Leukemias and Lymphomas,Hodgkin Lymphoma,0:06:52
Immunology,Leukemias and Lymphomas,Burkitt Lymphoma,0:06:34
Immunology,Leukemias and Lymphomas,Diffuse Large B Cell Lymphoma (DLBCL),0:04:50
Immunology,Leukemias and Lymphomas,Follicular Lymphoma,0:08:11
Immunology,Leukemias and Lymphomas,Mantle Cell Lymphoma,0:08:16
Immunology,Leukemias and Lymphomas,Marginal Zone Lymphoma,0:05:27
Immunology,Leukemias and Lymphomas,Primary CNS Lymphoma (PCNSL),0:04:26
Immunology,Leukemias and Lymphomas,Adult T-Cell Leukemia/Lymphoma (ATLL),0:04:58
Immunology,Leukemias and Lymphomas,Mycosis Fungoides / Sezary Syndrome,0:05:54
Immunology,Hypersensitivity Reactions,Type 1 Hypersensitivity Reactions,0:09:41
Immunology,Hypersensitivity Reactions,Type 2 Hypersensitivity Reactions,0:07:32
Immunology,Hypersensitivity Reactions,Type 3 Hypersensitivity Reactions,0:06:06
Immunology,Hypersensitivity Reactions,Type 4 Hypersensitivity Reactions,0:05:15
Immunology,Immunosuppressants,Cyclosporine,0:08:50
Immunology,Immunosuppressants,Tacrolimus,0:06:39
Immunology,Immunosuppressants,Sirolimus (Rapamycin),0:06:43
Immunology,Immunosuppressants,Basiliximab,0:03:47
Immunology,Immunosuppressants,Mycophenolate,0:04:13
Immunology,Transfusion Reactions,Anaphylactic Transfusion Reactions,0:04:35
Immunology,Transfusion Reactions,Acute Hemolytic Transfusion Reaction,0:10:56
Immunology,Transfusion Reactions,Febrile Nonhemolytic Transfusion Reaction,0:05:54
Immunology,Transfusion Reactions,TRALI,0:05:33
Immunology,Transplant Rejection,Hyperacute Transplant Rejection,0:05:00
Immunology,Transplant Rejection,Acute Transplant Rejection,0:05:29
Immunology,Transplant Rejection,Chronic Transplant Rejection,0:07:15
Immunology,Transplant Rejection,Graft vs Host Disease (GVHD),0:09:03
Pharmacology,Diabetes Drugs (New),DPP-4 Inhibitors,0:14:13
Pharmacology,Diabetes Drugs (New),GLP-1 Analogs,0:11:54
Pharmacology,Diabetes Drugs (New),Insulin Overview,0:17:09
Pharmacology,Diabetes Drugs (New),Insulin Preparations,0:21:56
Pharmacology,Diabetes Drugs (New),Metformin (Biguanides),0:18:00
Pharmacology,Diabetes Drugs (New),TZDs (Thiazolidinediones),0:16:48
Pharmacology,Diabetes Drugs (New),Sulfonylureas,0:22:12
Pharmacology,Diabetes Drugs (New),Meglitinides,0:14:59
Pharmacology,Diabetes Drugs (New),SGLT2 Inhibitors,0:17:56
Pharmacology,Diabetes Drugs (New),Alpha-Glucosidase Inhibitors,0:18:15
Pharmacology,Diabetes Drugs (New),Pramlintide (Amylin Analogs),0:12:16
Pharmacology,Cardiovascular Drugs (New),Nitroprusside,0:09:45
Pharmacology,Cardiovascular Drugs (New),DHP Calcium Channel Blockers,0:17:18
Pharmacology,Cardiovascular Drugs (New),Hydralazine,0:16:08
Pharmacology,Cardiovascular Drugs (New),Ezetimibe,0:09:56
Pharmacology,Cardiovascular Drugs (New),Fenoldopam,0:10:51
Pharmacology,Cardiovascular Drugs (New),Fibrates,0:13:34
Pharmacology,Cardiovascular Drugs (New),Sacubitril,0:15:54
Pharmacology,General Pharm,Gs / Gi Pathway,0:07:59
Pharmacology,General Pharm,Gq Signaling Pathway,0:07:50
Pharmacology,General Pharm,Alpha-1 (Adrenergic) Receptors,0:06:30
Pharmacology,General Pharm,Alpha-2 (Adrenergic) Receptors,0:07:41
Pharmacology,General Pharm,Beta-1 (Adrenergic) Receptors,0:06:24
Pharmacology,General Pharm,Beta-2 (Adrenergic) Receptors,0:08:39
Pharmacology,General Pharm,Beta-3 (Adrenergic) Receptors,0:02:15
Pharmacology,General Pharm,M1 (Muscarinic) Receptors,0:06:02
Pharmacology,General Pharm,M2 (Muscarinic) Receptors,0:05:48
Pharmacology,General Pharm,M3 (Muscarinic) Receptors,0:10:56
Pharmacology,General Pharm,D1 (Dopamine) Receptors,0:06:00
Pharmacology,General Pharm,D2 (Dopamine) Receptors,0:06:28
Pharmacology,General Pharm,H1 (Histamine) Receptors,0:07:50
Pharmacology,General Pharm,H2 (Histamine) Receptors,0:03:59
Pharmacology,General Pharm,V1 (Vasopressin) Receptors,0:03:49
Pharmacology,General Pharm,V2 (Vasopressin) Receptors,0:06:14
Pharmacology,Cholinomimetics,Bethanechol,0:03:19
Pharmacology,Cholinomimetics,Carbachol,0:04:05
Pharmacology,Cholinomimetics,Methacholine,0:03:39
Pharmacology,Cholinomimetics,Pilocarpine,0:04:21
Pharmacology,Cholinomimetics,Donepezil Rivastigmine and Galantamine,0:05:06
Pharmacology,Cholinomimetics,Edrophonium,0:09:05
Pharmacology,Cholinomimetics,Neostigmine,0:08:37
Pharmacology,Cholinomimetics,Physostigmine,0:06:20
Pharmacology,Cholinomimetics,Pyridostigmine,0:05:47
Pharmacology,Anticholinergics,Atropine (Homatropine and Tropicamide),0:06:03
Pharmacology,Anticholinergics,Glycopyrrolate,0:03:53
Pharmacology,Anticholinergics,Hyoscyamine & Dicyclomine,0:03:27
Pharmacology,Anticholinergics,Oxybutynin Solifenacin Tolterodine,0:04:19
Pharmacology,Anticholinergics,Scopolamine,0:03:39
Pharmacology,Sympathomimetics and Sympatholytics,Dopamine,0:09:31
Pharmacology,Sympathomimetics and Sympatholytics,Fenoldopam,0:05:23
Pharmacology,Sympathomimetics and Sympatholytics,Dobutamine,0:04:19
Pharmacology,Sympathomimetics and Sympatholytics,Epinephrine,0:09:15
Pharmacology,Sympathomimetics and Sympatholytics,Norepinephrine,0:08:13
Pharmacology,Sympathomimetics and Sympatholytics,Isoproterenol,0:04:26
Pharmacology,Sympathomimetics and Sympatholytics,Midodrine,0:03:00
Pharmacology,Sympathomimetics and Sympatholytics,Phenylephrine and Pseudoephedrine,0:07:15
Pharmacology,Sympathomimetics and Sympatholytics,(Alpha) Methyldopa,0:04:48
Pharmacology,Sympathomimetics and Sympatholytics,Clonidine (and Guanfacine),0:05:37
Pharmacology,Sympathomimetics and Sympatholytics,Tizanidine,0:03:23
Pharmacology,Alpha and Beta Blockers,Phenoxybenzamine,0:04:42
Pharmacology,Alpha and Beta Blockers,Phentolamine,0:06:50
Pharmacology,Alpha and Beta Blockers,"Alpha-1 Antagonists (Prazosin, Terazosin, Tamsulosin)",0:08:01
Pharmacology,Alpha and Beta Blockers,"Beta-1 Selective Blockers (Atenolol, Esmolol, Metoprolol)",0:06:55
Pharmacology,Alpha and Beta Blockers,"Combined Alpha-Beta Blockers (Carvedilol, Labetalol)",0:07:10
Pharmacology,Alpha and Beta Blockers,"Non-selective Beta-Blockers (Propranolol, Timolol)",0:06:39
Pharmacology,Alpha and Beta Blockers,Nebivolol,0:06:30
Pharmacology,Cardiovascular Pharm (Old),Adenosine,0:08:31
Pharmacology,Cardiovascular Pharm (Old),Magnesium,0:05:00
Pharmacology,Cardiovascular Pharm (Old),Nitroprusside,0:06:12
Pharmacology,Cardiovascular Pharm (Old),Nitrates,0:11:38
Pharmacology,Cardiovascular Pharm (Old),Ivabradine,0:06:30
Pharmacology,Cardiovascular Pharm (Old),Digoxin/Digitalis,0:10:40
Pharmacology,Cardiovascular Pharm (Old),Class IA Antiarrhythmics,0:09:05
Pharmacology,Cardiovascular Pharm (Old),Class IB Antiarrhythmics,0:10:40
Pharmacology,Cardiovascular Pharm (Old),Class IC Antiarrhythmics,0:08:09
Pharmacology,Cardiovascular Pharm (Old),Class II Antiarrhythmics,0:09:20
Pharmacology,Cardiovascular Pharm (Old),Class III Antiarrhythmics - Amiodarone,0:09:24
Pharmacology,Cardiovascular Pharm (Old),Class III Antiarrythmics - Sotalol,0:07:07
Pharmacology,Cardiovascular Pharm (Old),"Class III Antiarrhythmics - Ibutilide, Dofetilide",0:07:29
Pharmacology,Cardiovascular Pharm (Old),"Class IV Antiarrhythmics - Verapamil, Diltiazem",0:08:01
Pharmacology,Cardiovascular Pharm (Old),HMG-CoA Reductase Inhibitors (Statins),0:05:49
Pharmacology,Cardiovascular Pharm (Old),Ezetimibe,0:04:19
Pharmacology,Cardiovascular Pharm (Old),Fibrates,0:11:05
Pharmacology,Cardiovascular Pharm (Old),"PCSK9 Inhibitors (Alirocumab, Evolocumab)",0:04:57
Pharmacology,Cardiovascular Pharm (Old),Fish Oil and Omega-3s,0:04:32
Pharmacology,Cardiovascular Pharm (Old),Milrinone,0:04:01
Pharmacology,Cardiovascular Pharm (Old),Aliskiren,0:03:04
Pharmacology,Cardiovascular Pharm (Old),Hydralazine,0:07:24
Pharmacology,Cardiovascular Pharm (Old),Ranolazine,0:03:48
Pharmacology,Cardiovascular Pharm (Old),Sacubitril,0:04:56
Pharmacology,Diabetes Drugs (Old),Insulin Preparations,0:12:32
Pharmacology,Diabetes Drugs (Old),Metformin,0:09:04
Pharmacology,Diabetes Drugs (Old),Glitazones / Thiazolidinediones,0:08:00
Pharmacology,Diabetes Drugs (Old),First-Gen Sulfonylureas,0:08:30
Pharmacology,Diabetes Drugs (Old),Second-Gen Sulfonylureas,0:06:29
Pharmacology,Diabetes Drugs (Old),Meglitinides,0:09:24
Pharmacology,Diabetes Drugs (Old),GLP-1 Analogs,0:06:50
Pharmacology,Diabetes Drugs (Old),DPP-4 Inhibitors,0:04:44
Pharmacology,Diabetes Drugs (Old),alpha-Glucosidase Inhibitors,0:06:32
Pharmacology,Diabetes Drugs (Old),Pramlintide,0:04:26
Pharmacology,Other Endocrine Pharm,Thionamides (PTU vs Methimazole),0:09:07
Pharmacology,Other Endocrine Pharm,"ADH Antagonists (Conivaptan, Tolvaptan)",0:04:36
Pharmacology,Other Endocrine Pharm,Levothyroxine (T4) vs Liothyronine (T3),0:05:56
